Isolate,IS110,IS1182,IS1595,IS21,IS256,IS3,IS4,IS5,IS630,IS701,ISL3
YO178,2,0,0,0,0,11,0,18,0,4,0
YO135,2,0,0,0,0,11,0,17,0,2,0
YO193,2,0,0,0,0,11,0,16,0,3,0
YO182,2,0,3,0,0,13,2,23,0,1,3
YO040,6,0,0,0,0,10,0,30,0,0,0
YO378,6,0,0,0,0,8,0,32,1,0,0
YO131,8,0,0,0,0,8,0,31,1,0,0
YO161,8,0,0,0,0,8,0,32,1,0,0
YO023,5,0,0,0,0,7,0,28,3,0,0
YO379,3,0,0,0,0,11,0,23,1,0,0
YO029,0,0,0,0,0,8,0,37,0,0,0
YO084,3,0,0,0,0,2,0,1,0,0,0
YO006,0,0,0,0,0,8,0,30,0,0,0
YO083,3,0,0,0,0,11,0,28,0,0,0
YO376,0,0,0,0,0,8,0,25,0,0,0
YO375,0,0,0,0,0,7,0,30,0,0,0
YO024,3,0,0,0,0,11,0,19,0,0,0
YO030,3,0,0,0,0,11,0,19,0,0,0
YO003,5,0,0,0,0,11,0,17,0,0,0
YO025,5,0,0,0,0,12,0,9,0,0,25
YO383,0,1,0,0,0,1,0,3,0,0,0
YO382,1,1,0,0,0,0,0,12,0,0,0
YO384,0,1,0,0,0,1,1,4,0,1,0
YO076,1,0,0,0,0,1,0,4,0,0,0
YO001,1,0,0,0,0,0,0,6,0,1,0
YO128,1,0,0,0,0,0,0,3,0,0,0
YO145,1,0,0,0,0,0,0,3,0,0,0
YO082,0,5,0,0,0,2,0,3,0,0,0
YO104,0,0,0,0,0,9,0,15,0,0,0
YO106,0,0,0,0,0,8,0,13,0,0,0
YO102,0,0,0,0,0,8,0,11,0,0,0
YO099,1,0,3,0,0,3,0,1,0,0,0
YO119,0,0,3,0,0,1,0,1,60,0,0
